rank,task,dataset_id,source,domain,workflow_tags,source_files,tabular_tables,auxiliary_files,total_bytes,total_rows,max_rows,declared_columns,actual_columns,max_columns,total_cells,missing_pct,numeric_pct,categorical_pct,temporal_columns,low_cardinality_numeric_columns,high_cardinality_text_columns,constant_columns,duplicate_row_pct,cross_table_shared_columns,rows_per_column,schema_tokens,full_prompt_tokens_median,full_prompt_tokens_max,prompt_rows,prompt_limit_status,prompt_headroom,scale_score,schema_score,structure_score,quality_score,shape_score,type_mix_score,complexity_score,complexity_tier,statistical_risk,flags
1,archaeology,archaeology,dbench,humanities,"time series analysis, data cleaning, data visualization",3,3,0,1967757,7724,4084,64,65,37,186914,28.889756786543543,63.07692307692308,36.92307692307692,5,12,13,0,0.0,3,118.83076923076923,1135,1508,2024,64,safe,6168,86.20689655172413,78.62068965517241,56.0,82.54216224726727,3.3661315380631796,73.84615384615385,67.33479871138658,very high,lower,3 source files; wide schema; missing-heavy; temporal fields; raw/schema width mismatch
2,worldbank-education-gdp-indicators,worldbank_education_gdp_indicators,dbench,economics,"data selection, econometric modelling, mixture models",6,6,0,8841,12,2,258,258,43,516,16.27906976744186,95.34883720930233,4.651162790697675,0,246,12,68,0.0,43,0.046511627906976744,7382,8207,8207,1,filtered,-15,3.4482758620689653,100.0,100.0,46.51162790697674,100.0,9.302325581395344,61.234963913392136,very high,high,"prompt filtered at 8,192; 6 source files; wide schema; small-n; p≈n or p>n"
3,nls-raw,nls_raw,dbench,sociology,"regression, data cleaning, feature engineering",1,1,0,3020753,12686,12686,61,61,61,773846,33.30132868813691,100.0,0.0,7,31,0,0,0.0,0,207.9672131147541,5168,5927,5927,1,safe,2265,94.82758620689656,86.72413793103448,0.0,95.14665339467689,1.9233801040517104,0.0,55.308233639465115,very high,lower,wide schema; large-n; missing-heavy; temporal fields
4,nls-bmi-raw,nls_bmi_raw,dbench,sociology,"regression, feature engineering, data cleaning",1,1,0,3020753,12686,12686,61,61,61,773846,33.30132868813691,100.0,0.0,7,31,0,0,0.0,0,207.9672131147541,5168,6070,6070,1,safe,2122,94.82758620689656,86.72413793103448,0.0,95.14665339467689,1.9233801040517104,0.0,55.308233639465115,very high,lower,wide schema; large-n; missing-heavy; temporal fields
5,introduction-pathways-non-native-plants,introduction_pathways_non-native_plants,dbench,biology,statistical tests,4,3,1,123883,725,632,60,59,37,24959,0.6250250410673505,76.27118644067797,23.728813559322035,1,9,4,0,0.0,0,12.288135593220339,2570,3545,3545,1,safe,4647,58.620689655172406,80.0,72.0,1.7857858316210014,32.55172413793103,47.457627118644076,53.74473824553273,high,lower,4 source files; wide schema; temporal fields
6,meta-regression-raw,meta_regression_raw,dbench,meta science,"data cleaning, feature engineering, data selection, data matching, data integration, data deduplication, data standardization, meta regression, summary statistics, data integration",2,2,0,543757,1070,927,72,72,57,54984,7.098428633784374,70.83333333333333,29.166666666666668,1,15,1,0,0.0,1,14.86111111111111,1341,2210,2210,1,safe,5982,68.96551724137932,85.51724137931035,32.0,20.281224667955353,26.91588785046729,58.33333333333335,53.19364581166179,high,lower,2 source files; wide schema; temporal fields
7,requirements-engineering-for-ML-enabled-systems,requirements_engineering_for_ML_enabled_systems,dbench,engineering,"data cleaning, data standardization, statistical sampling, statistical tests",1,1,0,507267,276,276,202,202,202,55752,0.03407949490601234,7.425742574257426,92.57425742574257,0,8,2,0,0.0,0,1.3663366336633664,6743,7524,7524,1,near-cap,668,72.41379310344827,96.55172413793105,0.0,0.09736998544574955,100.0,14.851485148514865,52.36084927833114,high,high,"prompt near 8,192 cap; wide schema; p≈n or p>n"
8,conversation,conversation,blade,blade,,1,1,0,26099022,7975,7975,70,70,70,558250,23.272369010300046,78.57142857142857,21.428571428571427,3,36,1,4,0.0,0,113.92857142857143,669,1358,1358,1,safe,6834,89.65517241379311,74.48275862068967,0.0,66.49248288657155,3.510971786833856,42.85714285714286,51.767702642185405,high,lower,wide schema; missing-heavy; temporal fields
9,meta-regression,meta_regression,dbench,meta science,"data selection, meta regression, summary statistics, feature engineering, data standardization",1,1,0,53421,86,86,60,60,60,5160,6.9186046511627906,73.33333333333333,26.666666666666668,1,17,2,3,0.0,0,1.4333333333333333,1147,1931,1931,1,safe,6261,37.93103448275862,75.86206896551724,0.0,19.767441860465116,100.0,53.33333333333334,46.27318898690189,medium,high,wide schema; small-n; p≈n or p>n; temporal fields
10,soccer,soccer,blade,blade,,1,1,0,28051316,146028,146028,27,27,27,3942756,2.1667838435855526,74.07407407407408,25.925925925925927,0,19,0,0,0.0,0,5408.444444444444,844,1547,1547,1,safe,6645,100.0,67.41379310344828,0.0,6.190810981673008,0.07395841893335525,51.85185185185184,44.56594614668451,medium,lower,large-n
